mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA;FAIXA ETARIA
4696058;Flora;FEMALE;Pequeno;7215531;2024-05-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/3682dd16-fb2f-41dd-9f12-b37670c857ad.jpeg;Petz Giovanni Gronchi;SAO PAULO;SP;5;True;2024-10-12;1;FILHOTE
4701273;gothan;MALE;Pequeno;7222657;2024-07-12;1.0;https://s3.amazonaws.com/petz-cdm-stg/4076dbee-2262-4b45-b2c9-e9aa5f23fb11.jpeg;Petz Avenida das Americas;RIO DE JANEIRO;RJ;3;True;2024-10-12;3;FILHOTE
4700463;JOÃO GUILHERME;MALE;Pequeno;7221595;2024-01-01;4.0;https://s3.amazonaws.com/petz-cdm-stg/feb3e708-98b0-4bb5-a21f-b65ed21ea552.jpeg;Petz Salvador Bonocô;SALVADOR;BA;10;True;2024-10-12;0;FILHOTE
4691348;Juca;MALE;Pequeno;7209190;2023-09-29;5.0;https://s3.amazonaws.com/petz-cdm-stg/fffc1320-efdc-4def-b5bb-13da2563862f.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;13;False;2024-10-12;0;JUNIOR
4344723;Leonardo;MALE;Pequeno;6777940;2023-04-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/47e0c2b2-9dcf-4573-bbbc-6e1ab3142130.jpeg;Petz Salvador Paralela;SALVADOR;BA;19;False;2024-10-12;2;JUNIOR
4499097;Luan;MALE;Pequeno;6965328;2023-12-15;2.0;https://s3.amazonaws.com/petz-cdm-stg/be502520-e521-45d6-81af-6c0a166952a7.jpeg;Petz Radial Leste;SAO PAULO;SP;10;True;2024-10-12;2;FILHOTE
4692302;Lyon ;MALE;Pequeno;7210441;2024-07-01;13.0;https://s3.amazonaws.com/petz-cdm-stg/53296f28-b86c-422e-9a51-0aa2b9f78763.jpeg;Petz Gravatai;GRAVATAI;RS;4;True;2024-10-12;0;FILHOTE
4546160;Mandy;FEMALE;Pequeno;7024057;2023-01-10;5.0;https://s3.amazonaws.com/petz-cdm-stg/cdf64533-6b6a-4076-bc8f-6793da55f7fd.jpeg;Petz Bosque Maia;GUARULHOS;SP;21;False;2024-10-12;0;JUNIOR
4701357;MANOELA ;FEMALE;Pequeno;7222769;2024-01-05;2.0;https://s3.amazonaws.com/petz-cdm-stg/e7af748e-a0bb-4925-9ab5-4403d9139d05.jpeg;Petz Bosque Maia;GUARULHOS;SP;10;True;2024-10-12;0;FILHOTE
4697977;Matias ;MALE;Pequeno;7218183;2024-05-29;3.0;https://s3.amazonaws.com/petz-cdm-stg/f5a17386-878b-4013-8e91-1dd78ad87250.jpeg;Petz Aracaju;ARACAJU;SE;5;True;2024-10-12;0;FILHOTE
4701065;Maurício;MALE;Pequeno;7222385;2024-08-11;1.0;https://s3.amazonaws.com/petz-cdm-stg/2c29de02-48d4-42c6-9a82-31bb49527f8e.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;2;True;2024-10-12;0;FILHOTE
4633974;medina;MALE;Pequeno;7134884;2024-05-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/85d2396a-db0a-4ee9-8ef9-a1bdd8e9f120.jpeg;Petz Salvador Bonocô;SALVADOR;BA;6;True;2024-10-12;2;FILHOTE
4575931;Menino;MALE;Pequeno;7061062;2023-05-23;0.0;https://s3.amazonaws.com/petz-cdm-stg/c8e1a447-0307-418f-9f1e-15669dc9c8c1.jpeg;Petz Salvador Paralela;SALVADOR;BA;17;False;2024-10-12;0;JUNIOR
4499103;Mike;MALE;Pequeno;6965334;2023-12-25;2.0;https://s3.amazonaws.com/petz-cdm-stg/ad98874c-d033-4d03-a1ca-8bb5458f6e53.jpeg;Petz Radial Leste;SAO PAULO;SP;10;True;2024-10-12;2;FILHOTE
4692300;Myon;MALE;Pequeno;7210442;2024-07-01;13.0;https://s3.amazonaws.com/petz-cdm-stg/d8a3105f-9eb1-4b52-b957-e21dfc9eb278.jpeg;Petz Gravatai;GRAVATAI;RS;4;True;2024-10-12;2;FILHOTE
4698738;Niko;MALE;Pequeno;7219295;2024-03-08;1.0;https://s3.amazonaws.com/petz-cdm-stg/f12227ba-d2ad-4a74-b374-4fac6706bb1e.jpeg;Petz Congonhas;SAO PAULO;SP;7;True;2024-10-12;0;FILHOTE
4692299;Nyna;FEMALE;Pequeno;7210439;2024-05-06;0.26;https://s3.amazonaws.com/petz-cdm-stg/0904825b-5972-4c65-bf8f-50da42c046a9.jpeg;Petz Gravatai;GRAVATAI;RS;5;True;2024-10-12;0;FILHOTE
4698707;Perola;FEMALE;Pequeno;7219265;2024-05-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/784c17df-cbcb-421c-95d6-fb7d0484f8dc.jpeg;Petz Congonhas;SAO PAULO;SP;6;True;2024-10-12;0;FILHOTE
